Year,Lake Erie annual averages,Michigan-Huron annual averages,Lake Ontario annual averages,Lake Superior annual averages
1860,174.6884833,177.3351667,75.04616667,183.3979281
1861,174.7123167,177.3318333,75.23291667,183.410761
1862,174.7449833,177.316,75.23841667,183.3245938
1863,174.6557333,177.1796667,75.11383333,183.2085933
1864,174.4715667,176.9955833,75.04425,183.1491762
1865,174.36215,176.90525,75.0345,183.2284257
1866,174.40315,176.80575,74.81875,183.1930919
1867,174.4099833,176.9365833,75.00991667,183.2720081
1868,174.2958833,176.7891667,74.61141667,183.2242576
1869,174.42205,176.8250833,74.91841667,183.2833404
1870,174.6121333,177.1,75.24216667,183.3519233
1871,174.4342167,177.0769167,74.81458333,183.3527561
1872,174.1417167,176.7318333,74.39916667,183.3989223
1873,174.35455,176.9188333,74.71983333,183.5691718
1874,174.5008,177.0413333,74.94616667,183.5642547
1875,174.2888833,176.9683333,74.55041667,183.5882542
1876,174.7122167,177.2855833,75.10558333,183.7084203
1877,174.4547167,177.1971667,74.75166667,183.5155032
1878,174.5778833,177.1183333,74.92683333,183.346336
1879,174.3408833,176.85325,74.83608333,183.2066689
1880,174.4167833,176.90425,74.72491667,183.3130017
1881,174.3663667,177.0205,74.62258333,183.4510846
1882,174.6357833,177.1250833,74.94725,183.4305008
1883,174.5797,177.2096667,74.97916667,183.3506669
1884,174.6002,177.2734167,75.16775,183.3099165
1885,174.5711167,177.3208333,75.02575,183.3987493
1886,174.60245,177.3893333,75.26133333,183.2769988
1887,174.58795,177.1890833,75.09491667,183.2963317
1888,174.3760333,176.9931667,74.71691667,183.4213312
1889,174.30195,176.8393333,74.7825,183.3765807
1890,174.5057833,176.788,75.09883333,183.3422469
1891,174.2324333,176.6149167,74.80925,183.2114964
1892,174.2262667,176.564,74.585,183.2205792
1893,174.2105167,176.6204167,74.75416667,183.3274121
1894,174.2126833,176.6811667,74.69608333,183.5337449
1895,173.92835,176.4201667,74.23966667,183.5467444
1896,173.9960167,176.3256667,74.33941667,183.5422439
1897,174.1674333,176.5094167,74.3965,183.5407435
1898,174.2204333,176.5564167,74.56725,183.4061596
1899,174.1566833,176.5595,74.51591667,183.5707425
1900,174.1561,176.5626667,74.526,183.5970753
1901,173.9851,176.64175,74.484,183.5881582
1902,174.1236833,176.5305833,74.562,183.5231577
1903,174.2863333,176.5748333,74.72366667,183.5997405
1904,174.3325,176.7460909,74.95808333,183.5701567
1905,174.2160833,176.7561667,74.82908333,183.5792396
1906,174.2515,176.7635,74.77708333,183.5428025
1907,174.3988333,176.7844167,74.96233333,183.5061553
1908,174.3815833,176.7670909,75.155,183.4277381
1909,174.2159167,176.5988333,74.79758333,183.326821
1910,174.1370833,176.5025,74.66033333,183.2800705
1911,173.99975,176.3356667,74.4725,183.17557
1912,174.16875,176.4768333,74.802,183.3736528
1913,174.44725,176.67025,75.0645,183.442819
1914,174.2101667,176.5297273,74.77483333,183.4583185
1915,174.0609,176.3535833,74.48608333,183.3649847
