,president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp,datenumber
4237,Donald Trump,All polls,10/7/2020,7/13/2019,7/14/2019,YouGov,B,1000.0,a,0.12528121,0.0,42.0,51.0,42.923164,52.870313,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ceef98x1yo/tabs_Trump_Tweets_20190713.pdf,58657,99311,7/15/2019,19:17:36  7 Oct 2020,18091.0
4240,Donald Trump,All polls,10/7/2020,7/14/2019,7/15/2019,YouGov,B,1000.0,a,0.12465352,0.0,43.0,50.0,43.923164,51.870313,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/sb6v1l7zdd/tabs_Trump_Tweets_20190714.pdf,58665,99329,7/16/2019,19:17:36  7 Oct 2020,18092.0
4241,Donald Trump,All polls,10/7/2020,7/14/2019,7/16/2019,YouGov,B,1500.0,a,0.18698028,0.0,44.0,48.0,44.923164,49.870313,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/xj7rpmvws8/econTabReport.pdf,58677,99375,7/17/2019,19:17:36  7 Oct 2020,18093.0
4247,Donald Trump,All polls,10/7/2020,7/15/2019,7/16/2019,YouGov,B,1000.0,a,0.12528121,0.0,41.0,53.0,41.923164,54.870313,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/7d89u7jzlm/tabs_Trump_Tweets_20190715.pdf,58675,99371,7/16/2019,19:17:36  7 Oct 2020,18093.0
4249,Donald Trump,All polls,10/7/2020,7/16/2019,7/17/2019,YouGov,B,1000.0,a,0.12594054,0.0,42.0,52.0,42.923164,53.870313,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/5ixzcqz1wj/tabs_Trump_Tweets_20190716.pdf,58685,99466,7/18/2019,19:17:36  7 Oct 2020,18094.0
4254,Donald Trump,All polls,10/7/2020,7/17/2019,7/18/2019,YouGov,B,1000.0,a,0.1265911,0.0,43.0,50.0,43.923164,51.870313,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/x6tdh2bfle/tabs_Trump_Tweets_20190717.pdf,58690,99473,7/19/2019,19:17:36  7 Oct 2020,18095.0
4258,Donald Trump,All polls,10/7/2020,7/18/2019,7/19/2019,YouGov,B,1000.0,a,0.1265911,0.0,42.0,52.0,42.923164,53.870313,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/99phi78lcx/tabs_Trump_Tweets_20190718.pdf,58709,99552,7/23/2019,19:17:36  7 Oct 2020,18096.0
4262,Donald Trump,All polls,10/7/2020,7/19/2019,7/20/2019,YouGov,B,1000.0,a,0.12594054,0.0,41.0,52.0,41.923164,53.870313,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/vki73wrgsj/tabs_Trump_Tweets_20190719.pdf,58710,99554,7/23/2019,19:17:36  7 Oct 2020,18097.0
4268,Donald Trump,All polls,10/7/2020,7/20/2019,7/21/2019,YouGov,B,1000.0,a,0.12530154,0.0,43.0,51.0,43.923164,52.870313,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/v03jltp0lu/tabs_Trump_Tweets_20190720.pdf,58711,99556,7/23/2019,19:17:36  7 Oct 2020,18098.0
4269,Donald Trump,All polls,10/7/2020,7/21/2019,7/23/2019,YouGov,B,1500.0,a,0.18701071,0.0,41.0,51.0,41.923164,52.870313,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/n0eqovafro/econTabReport.pdf,58726,99643,7/24/2019,19:17:36  7 Oct 2020,18100.0
