,president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp,datenumber
8,Donald Trump,All polls,10/7/2020,1/23/2017,1/25/2017,YouGov,B,2692.0,a,1.0470774,0.0,41.0,35.0,41.923164,36.870313,,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/31rwbl7mh1/econToplines.pdf,49254,77266,1/26/2017,19:17:36  7 Oct 2020,17191.0
31,Donald Trump,All polls,10/7/2020,1/28/2017,1/31/2017,YouGov,B,1500.0,a,0.39853944,0.0,43.0,44.0,43.923164,45.870313,,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qg8b1mgh4b/econToplines.pdf,49268,77280,2/1/2017,19:17:36  7 Oct 2020,17197.0
46,Donald Trump,All polls,10/7/2020,2/2/2017,2/4/2017,YouGov,B,1000.0,a,0.21193264,0.0,43.0,47.0,43.923164,48.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67121,125429,7/17/2020,19:17:36  7 Oct 2020,17201.0
55,Donald Trump,All polls,10/7/2020,2/3/2017,2/5/2017,YouGov,B,1000.0,a,0.20012415,0.0,43.0,46.0,43.923164,47.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67122,125430,7/17/2020,19:17:36  7 Oct 2020,17202.0
57,Donald Trump,All polls,10/7/2020,2/4/2017,2/6/2017,YouGov,B,1000.0,a,0.18830082,0.0,41.0,48.0,41.923164,49.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67123,125431,7/17/2020,19:17:36  7 Oct 2020,17203.0
61,Donald Trump,All polls,10/7/2020,2/5/2017,2/7/2017,YouGov,B,1000.0,a,0.17879759,0.0,40.0,48.0,40.923164,49.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67512,126304,7/17/2020,19:17:36  7 Oct 2020,17204.0
64,Donald Trump,All polls,10/7/2020,2/5/2017,2/7/2017,YouGov,B,1500.0,a,0.26819638,0.0,41.0,48.0,41.923164,49.870313,,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4zurt7hzwj/econToplines.pdf,49273,77287,2/8/2017,19:17:36  7 Oct 2020,17204.0
66,Donald Trump,All polls,10/7/2020,2/6/2017,2/8/2017,YouGov,B,1000.0,a,0.17342297,0.0,39.0,50.0,39.923164,51.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67124,125433,7/17/2020,19:17:36  7 Oct 2020,17205.0
73,Donald Trump,All polls,10/7/2020,2/7/2017,2/9/2017,YouGov,B,1000.0,a,0.16852928,0.0,41.0,50.0,41.923164,51.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67125,125434,7/17/2020,19:17:36  7 Oct 2020,17206.0
83,Donald Trump,All polls,10/7/2020,2/10/2017,2/12/2017,YouGov,B,1000.0,a,0.15405449,0.0,40.0,50.0,40.923164,51.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67126,125435,7/17/2020,19:17:36  7 Oct 2020,17209.0
88,Donald Trump,All polls,10/7/2020,2/11/2017,2/13/2017,YouGov,B,1000.0,a,0.14965587,0.0,42.0,47.0,42.923164,48.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67127,125436,7/17/2020,19:17:36  7 Oct 2020,17210.0
92,Donald Trump,All polls,10/7/2020,2/12/2017,2/14/2017,YouGov,B,1500.0,a,0.21915845,0.0,43.0,47.0,43.923164,48.870313,,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/5amsxmrtih/econToplines.pdf,49295,77310,2/15/2017,19:17:36  7 Oct 2020,17211.0
96,Donald Trump,All polls,10/7/2020,2/12/2017,2/14/2017,YouGov,B,1000.0,a,0.14610563,0.0,38.0,53.0,38.923164,54.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67513,126305,7/17/2020,19:17:36  7 Oct 2020,17211.0
97,Donald Trump,All polls,10/7/2020,2/13/2017,2/15/2017,YouGov,B,1000.0,a,0.14508605,0.0,41.0,50.0,41.923164,51.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67128,125438,7/17/2020,19:17:36  7 Oct 2020,17212.0
101,Donald Trump,All polls,10/7/2020,2/14/2017,2/16/2017,YouGov,B,1000.0,a,0.14386399,0.0,37.0,51.0,37.923164,52.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67130,125440,7/17/2020,19:17:36  7 Oct 2020,17213.0
109,Donald Trump,All polls,10/7/2020,2/15/2017,2/17/2017,YouGov,B,1000.0,a,0.14281472,0.0,43.0,48.0,43.923164,49.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67131,125441,7/17/2020,19:17:36  7 Oct 2020,17214.0
111,Donald Trump,All polls,10/7/2020,2/16/2017,2/18/2017,YouGov,B,1000.0,a,0.14119314,0.0,41.0,47.0,41.923164,48.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67132,125442,7/17/2020,19:17:36  7 Oct 2020,17215.0
119,Donald Trump,All polls,10/7/2020,2/17/2017,2/19/2017,YouGov,B,1000.0,a,0.13897222,0.0,38.0,52.0,38.923164,53.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67133,125443,7/17/2020,19:17:36  7 Oct 2020,17216.0
122,Donald Trump,All polls,10/7/2020,2/17/2017,2/18/2017,YouGov,B,1000.0,a,0.13897222,0.0,41.0,47.0,41.923164,48.870313,,,http://big.assets.huffingtonpost.com/tabsHPPresidentTrump20170218.pdf,49309,77325,2/19/2017,19:17:36  7 Oct 2020,17215.0
127,Donald Trump,All polls,10/7/2020,2/18/2017,2/20/2017,YouGov,B,1000.0,a,0.13804867,0.0,40.0,50.0,40.923164,51.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67514,126306,7/17/2020,19:17:36  7 Oct 2020,17217.0
130,Donald Trump,All polls,10/7/2020,2/18/2017,2/22/2017,YouGov,B,1500.0,a,0.20586755,0.0,43.0,46.0,43.923164,47.870313,,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/fu3pv5rt9s/econToplines.pdf,49325,77341,2/23/2017,19:17:36  7 Oct 2020,17219.0
136,Donald Trump,All polls,10/7/2020,2/20/2017,2/22/2017,YouGov,B,1000.0,a,0.13754647,0.0,42.0,46.0,42.923164,47.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67134,125445,7/17/2020,19:17:36  7 Oct 2020,17219.0
143,Donald Trump,All polls,10/7/2020,2/22/2017,2/24/2017,YouGov,B,1000.0,a,0.1380864,0.0,40.0,50.0,40.923164,51.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67135,125446,7/17/2020,19:17:36  7 Oct 2020,17221.0
148,Donald Trump,All polls,10/7/2020,2/23/2017,2/25/2017,YouGov,B,1000.0,a,0.13794318,0.0,40.0,50.0,40.923164,51.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67136,125447,7/17/2020,19:17:36  7 Oct 2020,17222.0
152,Donald Trump,All polls,10/7/2020,2/24/2017,2/26/2017,YouGov,B,1000.0,a,0.13627225,0.0,42.0,50.0,42.923164,51.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67137,125448,7/17/2020,19:17:36  7 Oct 2020,17223.0
156,Donald Trump,All polls,10/7/2020,2/25/2017,2/27/2017,YouGov,B,1000.0,a,0.13467391,0.0,41.0,49.0,41.923164,50.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67138,125449,7/17/2020,19:17:36  7 Oct 2020,17224.0
161,Donald Trump,All polls,10/7/2020,2/25/2017,3/1/2017,YouGov,B,1500.0,a,0.19971669,0.0,41.0,50.0,41.923164,51.870313,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qai0kpu1rl/econTabReport.pdf,49433,77606,3/2/2017,19:17:36  7 Oct 2020,17226.0
163,Donald Trump,All polls,10/7/2020,2/26/2017,2/28/2017,YouGov,B,1000.0,a,0.13314446,0.0,42.0,47.0,42.923164,48.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67139,125450,7/17/2020,19:17:36  7 Oct 2020,17225.0
164,Donald Trump,All polls,10/7/2020,2/27/2017,3/1/2017,YouGov,B,1000.0,a,0.13306863,0.0,43.0,51.0,43.923164,52.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67140,125451,7/17/2020,19:17:36  7 Oct 2020,17226.0
169,Donald Trump,All polls,10/7/2020,2/28/2017,3/2/2017,YouGov,B,1000.0,a,0.13302055,0.0,46.0,42.0,46.923164,43.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67141,125452,7/17/2020,19:17:36  7 Oct 2020,17227.0
174,Donald Trump,All polls,10/7/2020,3/1/2017,3/3/2017,YouGov,B,1000.0,a,0.13254891,0.0,44.0,47.0,44.923164,48.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67142,125453,7/17/2020,19:17:36  7 Oct 2020,17228.0
182,Donald Trump,All polls,10/7/2020,3/2/2017,3/4/2017,YouGov,B,1000.0,a,0.13258711,0.0,41.0,48.0,41.923164,49.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67143,125454,7/17/2020,19:17:36  7 Oct 2020,17229.0
186,Donald Trump,All polls,10/7/2020,3/3/2017,3/5/2017,YouGov,B,1000.0,a,0.13179158,0.0,42.0,49.0,42.923164,50.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67144,125455,7/17/2020,19:17:36  7 Oct 2020,17230.0
193,Donald Trump,All polls,10/7/2020,3/4/2017,3/6/2017,YouGov,B,1000.0,a,0.1310328,0.0,40.0,47.0,40.923164,48.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67145,125456,7/17/2020,19:17:36  7 Oct 2020,17231.0
195,Donald Trump,All polls,10/7/2020,3/5/2017,3/7/2017,YouGov,B,1000.0,a,0.13073774,0.0,40.0,50.0,40.923164,51.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67146,125457,7/17/2020,19:17:36  7 Oct 2020,17232.0
