STATION,DATE,TAVG,TMAX,TMIN,datenumber
USW00014836,1/1/18,7,12,3,43101
USW00014836,1/2/18,12,18,2,43102
USW00014836,1/3/18,8,17,2,43103
USW00014836,1/4/18,9,14,-5,43104
USW00014836,1/5/18,0,6,-8,43105
USW00014836,1/6/18,2,11,-7,43106
USW00014836,1/7/18,12,31,4,43107
USW00014836,1/8/18,33,37,28,43108
USW00014836,1/9/18,29,36,22,43109
USW00014836,1/10/18,33,50,27,43110
USW00014836,1/11/18,53,59,50,43111
USW00014836,1/12/18,34,50,11,43112
USW00014836,1/13/18,13,16,7,43113
USW00014836,1/14/18,9,17,-1,43114
USW00014836,1/15/18,16,20,13,43115
USW00014836,1/16/18,14,17,8,43116
USW00014836,1/17/18,13,27,0,43117
USW00014836,1/18/18,21,31,15,43118
USW00014836,1/19/18,29,37,24,43119
USW00014836,1/20/18,37,44,32,43120
USW00014836,1/21/18,36,39,32,43121
USW00014836,1/22/18,40,51,37,43122
USW00014836,1/23/18,38,46,27,43123
USW00014836,1/24/18,26,27,23,43124
USW00014836,1/25/18,28,35,25,43125
USW00014836,1/26/18,37,53,29,43126
USW00014836,1/27/18,48,51,30,43127
USW00014836,1/28/18,35,43,28,43128
USW00014836,1/29/18,26,28,16,43129
USW00014836,1/30/18,19,24,15,43130
USW00014836,1/31/18,29,41,23,43131
USW00014836,2/1/18,29,34,8,43132
USW00014836,2/2/18,12,18,9,43133
USW00014836,2/3/18,19,34,12,43134
USW00014836,2/4/18,26,31,7,43135
USW00014836,2/5/18,14,18,10,43136
USW00014836,2/6/18,15,22,10,43137
USW00014836,2/7/18,18,23,10,43138
USW00014836,2/8/18,16,21,9,43139
USW00014836,2/9/18,18,21,15,43140
USW00014836,2/10/18,18,20,14,43141
USW00014836,2/11/18,19,25,17,43142
USW00014836,2/12/18,19,26,8,43143
USW00014836,2/13/18,16,28,4,43144
USW00014836,2/14/18,31,44,23,43145
USW00014836,2/15/18,41,46,36,43146
USW00014836,2/16/18,33,36,19,43147
USW00014836,2/17/18,25,34,16,43148
USW00014836,2/18/18,31,38,25,43149
USW00014836,2/19/18,37,56,33,43150
USW00014836,2/20/18,57,61,48,43151
USW00014836,2/21/18,40,48,30,43152
USW00014836,2/22/18,33,41,29,43153
USW00014836,2/23/18,37,44,32,43154
USW00014836,2/24/18,37,43,33,43155
USW00014836,2/25/18,40,49,35,43156
USW00014836,2/26/18,39,50,27,43157
USW00014836,2/27/18,46,60,38,43158
USW00014836,2/28/18,51,60,38,43159
USW00014836,3/1/18,37,38,32,43160
USW00014836,3/2/18,34,44,26,43161
USW00014836,3/3/18,33,42,24,43162
