Country,Year,Month,Total,Volkswagen,Tesla,Renault,Hyundai,BMW,Audi,Opel,Mercedes-Benz,Kia
Germany,2017,1,"1,323",114,151,180,29,244,0,13,68,177
Germany,2017,2,"1,546",131,202,431,12,168,0,15,61,282
Germany,2017,3,"2,191",172,670,587,27,263,0,40,85,97
Germany,2017,4,"1,413",197,197,280,73,222,0,3,123,223
Germany,2017,5,"1,520",228,322,271,130,201,0,2,46,108
Germany,2017,6,"2,196",258,353,680,63,219,0,3,33,104
Germany,2017,7,"1,820",203,180,413,93,205,0,1,41,365
Germany,2017,8,"2,177",539,198,423,43,173,0,14,29,372
Germany,2017,9,"2,247",575,346,278,47,226,0,13,19,252
Germany,2017,10,"2,180",442,161,243,47,221,0,23,10,380
Germany,2017,11,"3,031",715,261,235,225,276,0,48,7,277
Germany,2017,12,"3,412",530,290,301,92,373,0,56,20,296
Germany,2018,1,"2,733",524,63,299,189,210,0,67,3,450
Germany,2018,2,"2,514",538,175,475,109,199,0,111,25,101
Germany,2018,3,"3,767",666,428,523,61,322,24,57,10,396
Germany,2018,4,"3,134",551,106,422,96,395,41,26,0,721
Germany,2018,5,"2,281",442,200,507,98,226,25,23,34,234
Germany,2018,6,"2,622",352,282,465,126,399,39,7,8,127
Germany,2018,7,"2,471",359,95,320,105,314,30,15,1,423
Germany,2018,8,"2,383",374,82,421,138,282,25,25,0,339
Germany,2018,9,"2,319",515,185,328,201,282,0,10,1,123
Germany,2018,10,"3,327",858,62,609,335,306,0,19,1,53
Germany,2018,11,"4,242",993,122,"1,047",322,360,220,15,0,182
Germany,2018,12,"3,752",627,105,944,283,497,528,10,0,173
Germany,2019,1,"4,625",831,137,799,494,645,407,14,22,405
Germany,2019,2,"4,600",355,"1,092",782,542,628,155,27,1,201
Germany,2019,3,"6,573",333,"2,367","1,136",415,708,478,6,0,120
Germany,2019,4,"4,749",643,575,939,433,734,174,7,39,99
Germany,2019,5,"4,606",413,433,875,378,861,322,7,102,169
Germany,2019,6,"5,673",722,"1,605","1,020",377,702,246,9,52,86
Germany,2019,7,"5,963",1098,607,910,560,961,530,12,83,112
Germany,2019,8,"5,001",385,514,777,593,987,366,12,93,204
Germany,2019,9,"5,880",455,"1,678",634,333,863,319,8,81,154
Germany,2019,10,"4,979",888,293,458,368,858,207,4,50,200
Germany,2019,11,"4,651",1109,280,321,246,545,192,14,98,146
Germany,2019,12,"5,748",851,"1,129",780,309,625,182,3,75,145
Germany,2020,1,"7,491",1713,367,"1,798",549,551,572,145,97,181
Germany,2020,2,"8,154",2245,685,"1,352",512,480,591,123,119,296
Germany,2020,3,"10,329",2363,"2,263",945,412,551,721,715,101,184
Germany,2020,4,"4,635",1128,635,627,305,290,246,119,26,141
Germany,2020,5,"5,578",1609,312,896,451,227,583,95,49,277
Germany,2020,6,"8,119",2087,841,"1,448",452,427,520,119,149,372
Germany,2020,7,"16,798",4082,203,"2,851","2,114",812,656,134,300,"1,100"
Germany,2020,8,"16,076",2524,"2,845","2,210","1,710",606,679,603,265,837
Germany,2020,9,"21,188",3894,"3,065","3,603","1,703",985,884,854,355,868
Germany,2020,10,"23,158",5024,252,"5,020","2,060","1,196","1,202","1,016",489,563
Germany,2020,11,"28,965",6086,"1,680","4,461","2,557","1,325",871,"1,556",747,453
Germany,2020,12,"43,671",13337,"3,545","6,266","3,098","1,250",610,"1,483","1,797",635
Germany,2021,1,"16,307",4555,453,"1,344","1,274",898,592,740,534,490
Germany,2021,2,"18,273",4742,"1,918","1,655","1,447",884,"1,038",661,270,560
Germany,2021,3,"30,092",6865,"3,703","2,048","3,441","1,246",804,"1,378",847,673
Germany,2021,4,"23,810",6357,482,"1,623","1,793","1,087","1,103","1,370",811,785
Germany,2021,5,"26,784",6378,"2,744","2,106","1,262","1,240","1,009","1,694",590,747
Germany,2021,6,"33,420",6957,"4,466","3,381","2,586","1,296","1,237","1,924",984,668
Germany,2021,7,"25,461",5782,489,"1,803","2,372","1,264",895,"1,600","1,416",675
Germany,2021,8,"28,857",7439,"3,810","1,996","2,160","1,280","1,070","1,019","1,197",820
Germany,2021,9,"33,653",5198,"7,901","2,049","2,464","1,408","1,452","1,428",857,"1,014"
Germany,2021,10,"30,554",4254,"1,469","2,838","2,229","1,715","1,390","1,731","1,528","1,355"
Germany,2021,11,"40,266",5145,"5,612","5,358","3,015","1,710","1,853","2,052","1,619",945
Germany,2021,12,"48,432",8185,"6,662","6,508","2,580","2,461","2,309","2,332","1,601",788
Germany,2022,1,"20,881",2699,419,"1,631","2,048","1,298","1,492","1,752","1,071",664
Germany,2022,2,"28,288",2802,"5,944","1,768","2,368","1,698","1,444","1,542","1,652",909
Germany,2022,3,"34,460",2203,"8,045","2,239","2,620","2,717","2,175","1,049","1,283","1,071"
Germany,2022,4,"22,169",1769,650,"1,202","1,706","2,001","1,705","1,023","1,796","1,092"
Germany,2022,5,"29,178",4328,293,"1,828","2,451","1,343","2,288","2,177","1,881",962
Germany,2022,6,"32,228",4795,"2,908","2,775","2,242","1,088","1,943","2,355","1,599",762
Germany,2022,7,"28,808",4280,"1,182","1,685","2,541","1,829","2,306","2,624","1,059",499
Germany,2022,8,"31,999",4153,"5,291","1,309","1,941","2,109","2,208","2,063","1,721","1,023"
Germany,2022,9,"44,383",4845,"13,724","1,487","2,897","2,120","2,138","1,612","2,273",922
France,2018,1,"1,286",30,12,633,42,83,0,0,0,136
France,2018,2,"1,949",25,51,"1,155",22,82,0,0,0,73
France,2018,3,"4,047",66,241,"2,245",127,152,0,0,0,59
France,2018,4,"1,894",48,39,961,53,104,0,0,0,70
France,2018,5,"2,018",55,112,"1,085",20,117,0,0,0,51
France,2018,6,"3,166",53,173,"1,928",21,108,0,0,0,18
France,2018,7,"1,734",36,48,721,29,111,0,0,0,31
France,2018,8,"1,604",30,64,810,40,96,0,0,0,63
France,2018,9,"2,614",18,171,"1,482",64,107,0,0,0,44
France,2018,10,"2,861",95,30,"1,745",91,82,0,0,0,47
France,2018,11,"3,541",91,119,"1,895",134,81,0,0,0,72
France,2018,12,"4,355",105,192,"2,378",263,144,0,0,0,201
France,2019,1,"3,059",75,32,"1,496",194,229,0,0,0,172
France,2019,2,"2,879",57,445,"1,197",113,196,14,0,0,267
France,2019,3,"4,614",70,"1,250","1,536",189,207,140,0,0,300
France,2019,4,"3,222",50,305,"1,472",208,202,22,0,0,249
France,2019,5,"2,736",52,413,"1,331",169,160,13,0,0,182
France,2019,6,"4,497",78,"1,285","1,845",211,179,35,0,6,210
France,2019,7,"3,077",50,356,"1,491",142,147,45,0,25,170
France,2019,8,"2,092",39,293,979,92,193,20,0,0,108
France,2019,9,"4,201",57,"1,165","1,568",288,241,57,0,1,226
France,2019,10,"4,382",115,192,"1,939",296,240,23,0,19,332
France,2019,11,"3,199",78,271,"1,866",109,324,31,0,10,20
France,2019,12,"4,803",107,"1,435","2,097",55,475,53,0,28,8
France,2020,1,"10,952",70,170,"5,331",339,137,21,0,21,528
France,2020,2,"9,452",185,"1,047","3,076",492,153,101,165,37,357
France,2020,3,"5,510",139,"1,580","1,744",189,98,28,36,18,166
France,2020,4,"1,115",,203,322,16,,,26,,
France,2020,5,"4,111",120,269,"1,165",410,122,20,87,10,258
France,2020,6,"13,727",465,728,"6,012",770,249,115,300,38,537
France,2020,7,"9,941",441,148,"3,834",872,195,85,161,24,714
France,2020,8,"5,591",205,269,"1,618",598,93,145,157,27,670
France,2020,9,"10,011",837,"1,267","2,879",642,178,77,400,78,726
France,2020,10,"10,043",686,107,"3,185",703,168,46,316,24,774
France,2020,11,"9,601",1038,537,"3,174",387,127,25,222,95,520
France,2020,12,"20,734",3285,"1,034","7,331",523,207,140,301,180,662
France,2021,1,"6,471",181,86,"1,383",502,105,32,282,27,846
France,2021,2,"8,425",473,"1,175","1,884",315,132,27,222,23,651
France,2021,3,"15,413",1224,"4,527","2,633",441,161,69,193,23,682
France,2021,4,"9,560",876,211,"1,944",493,222,36,273,122,557
France,2021,5,"11,564",725,"2,111","3,067",449,141,49,244,101,475
France,2021,6,"20,899",1222,"5,001","4,310",791,235,199,405,225,797
France,2021,7,"7,524",546,43,"1,573",596,138,99,255,127,562
France,2021,8,"9,911",659,"2,658","1,512",436,105,92,179,97,323
France,2021,9,"16,990",1133,"3,263","2,980",565,236,177,430,108,616
France,2021,10,"15,582",955,977,"3,260",699,149,133,255,165,998
France,2021,11,"16,420",862,"2,142","3,020",700,327,178,280,157,871
France,2021,12,"23,168",1662,"4,251","4,889",757,394,278,280,213,"1,111"
France,2022,1,"10,218",324,48,"2,210",693,117,207,255,81,782
France,2022,2,"13,453",218,"3,583","1,978",659,263,203,276,147,723
France,2022,3,"19,835",,"4,850","2,625",513,,,,,584
France,2022,4,"12,692",,,"2,000",455,,,,,516
France,2022,5,"15,245",,,"3,705",634,,,,,
France,2022,6,"21,888",,"3,011","6,060",618,,,,,
France,2022,7,"12,736",,,"3,708",711,,,310,,
France,2022,8,"12,302",HA,702,"2,673",465,,,,,398
Norway,2018,1,"2,128",557,215,334,170,614,0,28,0,120
Norway,2018,2,"2,200",533,81,87,177,377,0,15,0,76
Norway,2018,3,"5,366",462,"1,403",347,194,528,0,48,0,94
Norway,2018,4,"3,566",563,716,250,138,525,0,83,0,137
Norway,2018,5,"2,912",648,519,167,180,407,0,102,0,102
Norway,2018,6,"3,973",639,"1,112",183,198,335,0,117,0,62
Norway,2018,7,"2,293",438,64,62,178,284,0,89,0,74
Norway,2018,8,"4,158",827,195,386,422,473,0,172,0,169
Norway,2018,9,"4,810",186,"2,016",123,468,458,0,48,0,126
Norway,2018,10,"4,501",1044,202,411,265,525,0,23,0,162
Norway,2018,11,"5,090",976,455,464,488,714,0,178,0,154
Norway,2018,12,"5,146",993,"1,637",327,487,448,7,17,0,231
Norway,2019,1,"3,407",746,186,155,672,619,8,48,0,113
Norway,2019,2,"4,516",861,"1,016",208,716,396,110,62,0,161
Norway,2019,3,"10,732",945,"5,822",344,645,784,680,65,0,203
Norway,2019,4,"4,462",1016,811,206,549,467,371,69,0,101
Norway,2019,5,"4,655",851,"1,010",268,450,344,530,58,0,127
Norway,2019,6,"7,428",846,"3,760",265,486,453,574,83,7,87
Norway,2019,7,"3,484",634,492,189,466,207,511,140,0,60
Norway,2019,8,"4,713",1250,830,235,427,394,445,156,4,56
Norway,2019,9,"6,086",685,"2,762",101,572,399,476,124,48,65
Norway,2019,10,"3,742",793,168,93,536,317,873,113,7,82
Norway,2019,11,"3,697",815,543,18,558,323,518,89,2,87
Norway,2019,12,"3,423",527,"1,398",8,414,150,282,50,16,89
Norway,2020,1,"4,236",537,194,533,591,200,902,72,67,171
Norway,2020,2,"5,145",845,83,262,584,309,"1,171",230,43,493
Norway,2020,3,"6,966",878,"1,132",242,690,298,"1,681",68,173,257
Norway,2020,4,"3,671",653,74,153,296,234,832,58,243,164
Norway,2020,5,"3,444",645,31,148,560,114,579,105,98,166
Norway,2020,6,"5,041",893,560,148,791,138,453,123,220,218
Norway,2020,7,"4,408",421,33,128,623,117,775,100,698,65
Norway,2020,8,"5,704",614,348,221,616,152,756,89,597,215
Norway,2020,9,"9,560",2417,"1,439",186,766,322,542,80,286,349
Norway,2020,10,"7,873",2562,95,119,679,373,513,82,332,408
Norway,2020,11,"7,035",1100,326,92,476,217,569,42,447,416
Norway,2020,12,"13,718",2507,"4,424",114,537,240,454,72,517,322
Norway,2021,1,"5,461",241,108,70,269,159,734,135,487,377
Norway,2021,2,"5,074",188,345,61,424,156,618,110,188,402
Norway,2021,3,"8,624",980,"2,181",69,421,308,466,118,616,319
Norway,2021,4,"7,229",2058,5,86,336,335,687,82,517,212
Norway,2021,5,"8,498",983,505,86,386,289,505,106,596,348
Norway,2021,6,"13,184",1271,"3,197",76,731,687,708,134,560,467
Norway,2021,7,"6,731",676,4,63,788,474,668,161,418,271
Norway,2021,8,"11,788",1597,"2,083",71,949,451,"1,237",198,670,341
Norway,2021,9,"13,933",1189,"5,782",54,"1,033",290,"1,068",177,287,312
Norway,2021,10,"8,154",1280,53,53,790,213,"1,000",190,294,355
Norway,2021,11,"11,274",1041,"1,783",60,883,341,"1,027",160,508,515
Norway,2021,12,"13,803",1311,"4,346",55,655,899,913,251,592,645
Norway,2022,1,"6,660",531,45,22,701,535,941,160,420,604
Norway,2022,2,"6,160",251,11,15,621,517,744,152,398,543
Norway,2022,3,"13,983",1260,"4,997",30,939,811,"1,027",176,649,495
Norway,2022,4,"7,207",503,83,41,572,660,487,257,345,545
Norway,2022,5,"8,445",1052,223,46,642,"1,059",580,222,309,369
Norway,2022,6,"11,722",1529,"2,669",50,662,909,802,256,437,280
Norway,2022,7,"4,950",969,38,60,478,197,368,66,205,162
Norway,2022,8,"8,934",2122,848,72,781,704,530,150,503,357
Norway,2022,9,"11,384",1327,"3,665",51,666,563,569,128,594,292
