,year,state_abbr,state_name,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,violent_crime_rate,property_crime_rate,division_name,region_name,police_population
0,1979,AK,Alaska,406000,1994,54,445,1203,23193,5616,15076,2501,0.004911330049261084,0.0571256157635468,Pacific,West,710
1,1979,AL,Alabama,3769000,15578,496,4127,9918,144372,48517,83791,12064,0.004133191828071106,0.038305120721676834,East South Central,South,7647
2,1979,AR,Arkansas,2180000,7984,198,1626,5565,70949,21457,45267,4225,0.0036623853211009173,0.0325454128440367,West South Central,South,3573
3,1979,AZ,Arizona,2450000,14528,219,4305,8884,177977,48916,116976,12085,0.005929795918367347,0.07264367346938776,Mountain,West,6811
4,1979,CA,California,22696000,184087,2952,75767,93129,1511021,496310,847148,167563,0.008110988720479379,0.06657653330983433,Pacific,West,57074
5,1979,CO,Colorado,2772000,14472,161,4353,8486,180984,49741,117898,13345,0.0052207792207792205,0.06529004329004329,Mountain,West,7341
6,1979,CT,Connecticut,3115000,12902,131,6021,5998,167131,48229,96997,21905,0.004141894060995185,0.053653611556982346,New England,Northeast,6180
7,1979,DC,District of Columbia,656000,10553,180,6920,2964,45877,13452,28819,3606,0.01608689024390244,0.0699344512195122,South Atlantic,South,4583
8,1979,DE,Delaware,582000,3127,33,753,2179,34853,8890,23081,2882,0.005372852233676976,0.05988487972508591,South Atlantic,South,912
9,1979,FL,Florida,8860000,73881,1084,22097,46124,607281,190884,378099,38298,0.008338713318284424,0.06854187358916479,South Atlantic,South,25618
10,1979,GA,Georgia,5118000,28594,877,10939,14562,248641,81579,145758,21304,0.00558694802657288,0.04858167252833138,South Atlantic,South,11368
11,1979,HI,Hawaii,915000,2651,66,1688,601,63664,16538,40580,6546,0.0028972677595628417,0.06957814207650273,Pacific,West,2381
12,1979,IA,Iowa,2903000,5259,65,1457,3417,119620,26768,85023,7829,0.0018115742335514985,0.04120564932828109,West North Central,Midwest,5432
13,1979,ID,Idaho,905000,2613,49,392,1986,35766,9729,23577,2460,0.002887292817679558,0.03952044198895028,Mountain,West,2034
14,1979,IL,Illinois,11230000,83540,1203,36056,42579,593750,161776,356062,75912,0.00743900267141585,0.05287177203918077,East North Central,Midwest,31829
15,1979,IN,Indiana,5400000,18254,448,7167,8958,230223,63176,143666,23381,0.0033803703703703704,0.04263388888888889,East North Central,Midwest,9206
16,1979,KS,Kansas,2369000,8376,130,2423,5197,107605,31504,69622,6479,0.003535669058674546,0.04542211903756859,West North Central,Midwest,4913
