Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1939,29923,30100,30280,30094,30299,30502,30419,30663,31031,31411,31470,31542, 
1940,31603,31715,31825,31701,31879,31977,31942,32352,32810,33267,33669,34174, 
1941,34481,34843,35092,35468,36182,36650,37137,37544,37835,37949,38024,38104, 
1942,38347,38512,38935,39352,39771,40029,40472,40988,41259,41515,41674,41915, 
1943,42172,42393,42552,42647,42596,42781,42700,42546,42492,42675,42821,42746, 
1944,42654,42538,42294,42063,41985,41947,41904,41850,41679,41708,41711,41860, 
1945,41895,41897,41798,41446,41304,41149,40874,40466,38507,38600,38996,39110, 
1946,39829,39244,40195,40913,41349,41735,42153,42642,42915,43093,43395,43379, 
1947,43535,43557,43607,43499,43638,43810,43743,43960,44203,44411,44484,44581, 
1948,44679,44533,44683,44379,44796,45034,45160,45178,45294,45245,45192,45032, 
1949,44668,44497,44240,44236,43984,43739,43531,43624,43780,42942,43242,43522, 
1950,43526,43297,43954,44382,44718,45083,45454,46192,46438,46706,46776,46861, 
1951,47288,47577,47873,47861,47952,48064,48061,48012,47954,48006,48147,48314, 
1952,48296,48522,48504,48620,48642,48282,48143,48924,49320,49597,49816,50166, 
1953,50144,50339,50473,50435,50490,50519,50536,50489,50368,50240,49908,49703, 
1954,49469,49382,49157,49179,48965,48895,48835,48826,48886,48942,49180,49331, 
1955,49496,49644,49962,50248,50512,50790,50987,51111,51266,51429,51592,51805, 
1956,51975,52167,52294,52375,52506,52586,51955,52631,52604,52777,52821,52929, 
1957,52887,53097,53156,53238,53150,53067,53123,53128,52934,52763,52558,52384, 
1958,52076,51576,51299,51027,50914,50914,51039,51233,51506,51485,51944,52085, 
1959,52478,52688,53014,53321,53550,53681,53804,53336,53428,53358,53634,54174, 
1960,54274,54513,54454,54813,54475,54348,54306,54272,54227,54142,53961,53742, 
1961,53683,53557,53659,53627,53786,53977,54123,54298,54388,54522,54742,54872, 
1962,54891,55188,55275,55602,55628,55644,55746,55838,55978,56041,56056,56028, 
1963,56115,56230,56320,56580,56616,56659,56794,56910,57078,57283,57255,57361, 
1964,57487,57753,57897,57922,58089,58219,58412,58619,58903,58793,59218,59421, 
1965,59582,59800,60003,60259,60491,60690,60965,61228,61490,61719,61996,62322, 
1966,62529,62796,63192,63437,63712,64111,64301,64507,64643,64854,65019,65199, 
1967,65407,65429,65530,65466,65620,65750,65888,66143,66164,66225,66703,66900, 
1968,66804,67215,67295,67556,67652,67905,68126,68330,68484,68721,68984,69248, 
1969,69439,69699,69905,70072,70328,70636,70729,71008,70914,71121,71086,71241, 
1970,71176,71305,71451,71348,71124,71029,71053,70937,70944,70521,70409,70792, 
1971,70865,70807,70860,71036,71247,71254,71315,71373,71614,71642,71847,72109, 
1972,72441,72648,72944,73162,73469,73758,73709,74141,74264,74674,74973,75268, 
1973,75617,76014,76284,76455,76648,76887,76913,77168,77276,77607,77920,78031, 
1974,78100,78254,78296,78382,78549,78604,78636,78619,78610,78630,78265,77652, 
1975,77293,76918,76648,76460,76624,76521,76770,77153,77228,77540,77685,78017, 
1976,78503,78816,79048,79292,79312,79376,79547,79704,79892,79911,80240,80448, 
1977,80690,80988,81391,81728,82088,82488,82834,83075,83532,83800,84173,84410, 
1978,84594,84948,85460,86162,86509,86950,87204,87483,87621,87956,88391,88671, 
1979,88808,89055,89479,89417,89789,90108,90217,90300,90327,90481,90573,90672, 
1980,90800,90883,90994,90849,90420,90101,89840,90099,90213,90490,90747,90943, 
1981,91033,91105,91210,91283,91296,91490,91601,91565,91477,91380,91171,90895, 
1982,90565,90563,90434,90150,90107,89865,89521,89363,89183,88907,88786,88771, 
1983,88990,88917,89090,89364,89644,90021,90437,90129,91247,91520,91875,92230, 
1984,92673,93157,93429,93792,94098,94479,94789,95032,95344,95629,95982,96107, 
1985,96372,96503,96842,97038,97312,97459,97648,97840,98045,98233,98443,98609, 
1986,98732,98847,98934,99121,99248,99155,99473,99588,99934,100121,100308,100509, 
1987,100678,100919,101164,101499,101728,101900,102247,102420,102647,103138,103372,103661, 
1988,103753,104214,104489,104732,104962,105326,105550,105674,106013,106276,106617,106898, 
1989,107161,107427,107621,107791,107913,108027,108069,108120,108369,108476,108752,108836, 
1990,109189,109432,109637,109671,109834,109857,109822,109610,109520,109374,109220,109168, 
1991,109051,108731,108569,108352,108250,108338,108290,108302,108333,108362,108300,108330, 
1992,108367,108312,108361,108515,108648,108717,108799,108923,108954,109135,109280,109500, 
1993,109795,110044,109992,110295,110570,110751,111060,111209,111454,111734,111990,112324, 
1994,112598,112779,113240,113587,113923,114237,114607,114899,115253,115458,115873,116176, 
1995,116504,116693,116907,117065,117050,117286,117377,117639,117880,118029,118168,118325, 
1996,118318,118734,118990,119156,119489,119770,120016,120201,120402,120663,120949,121145, 
1997,121363,121675,121989,122284,122551,122816,123112,123092,123577,123923,124230,124551, 
1998,124813,125018,125164,125445,125846,126077,126209,126547,126745,126950,127225,127598, 
1999,127704,128118,128233,128595,128810,129088,129423,129569,129781,130179,130467,130781, 
2000,131009,131120,131604,131883,132106,132060,132228,132231,132357,132352,132553,132718, 
2001,132699,132786,132751,132455,132411,132296,132173,132024,131765,131452,131141,130984, 
2002,130853,130732,130720,130616,130632,130682,130585,130587,130498,130621,130617,130469, 
2003,130580,130443,130232,130176,130196,130192,130184,130153,130252,130439,130482,130594, 
2004,130766,130822,131139,131409,131693,131789,131850,131936,132083,132435,132509,132633, 
2005,132779,133033,133154,133515,133687,133939,134297,134495,134552,134646,135001,135160, 
2006,135425,135732,136041,136210,136247,136328,136522,136688,136825,136849,137068,137251, 
2007,137475,137556,137782,137842,137993,138072,138042,138017,138103,138175,138291,138396, 
2008,138397,138326,138256,138037,137847,137689,137492,137209,136759,136294,135546,134848, 
